label,config_id,restart_id,restart_seed,t_nuc_cluster,nucleated,p_seed,c_seed,seed_compactness,seed_rg,seed_perimeter,seed_perimeter_to_area,p_ordered_seed,c_ordered_seed,ordered_seed_compactness,ordered_seed_rg,ordered_seed_perimeter,ordered_seed_perimeter_to_area
1.05,4,8,1429623,,0,0.067626953125,9.0,0.75,1.227262335243029,14.0,1.5555555555555556,0.0,0.0,0.0,,0.0,
1.05,4,9,1429660,273.90000000000003,1,0.067626953125,9.0,0.75,1.227262335243029,14.0,1.5555555555555556,0.0,0.0,0.0,,0.0,
1.05,4,10,1429697,,0,0.067626953125,9.0,0.75,1.227262335243029,14.0,1.5555555555555556,0.0,0.0,0.0,,0.0,
1.05,4,11,1429734,188.3,1,0.067626953125,9.0,0.75,1.227262335243029,14.0,1.5555555555555556,0.0,0.0,0.0,,0.0,
1.05,4,12,1429771,,0,0.067626953125,9.0,0.75,1.227262335243029,14.0,1.5555555555555556,0.0,0.0,0.0,,0.0,
1.05,4,13,1429808,,0,0.067626953125,9.0,0.75,1.227262335243029,14.0,1.5555555555555556,0.0,0.0,0.0,,0.0,
1.05,4,14,1429845,,0,0.067626953125,9.0,0.75,1.227262335243029,14.0,1.5555555555555556,0.0,0.0,0.0,,0.0,
1.05,4,15,1429882,,0,0.067626953125,9.0,0.75,1.227262335243029,14.0,1.5555555555555556,0.0,0.0,0.0,,0.0,
1.05,5,0,1430336,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,1,1430373,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,2,1430410,154.8,1,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,3,1430447,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,4,1430484,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,5,1430521,270.3,1,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,6,1430558,282.1,1,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,7,1430595,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,8,1430632,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,9,1430669,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,10,1430706,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,11,1430743,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,12,1430780,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,13,1430817,229.9,1,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,14,1430854,263.6,1,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,5,15,1430891,,0,0.072998046875,9.0,0.5625,1.3240416986458872,16.0,1.7777777777777777,0.0,0.0,0.0,,0.0,
1.05,6,0,1431345,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,1,1431382,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,2,1431419,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,3,1431456,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,4,1431493,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,5,1431530,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,6,1431567,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,7,1431604,178.3,1,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,8,1431641,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,9,1431678,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,10,1431715,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,11,1431752,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,12,1431789,243.4,1,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,13,1431826,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,14,1431863,,0,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,6,15,1431900,109.5,1,0.072265625,14.0,0.7777777777777778,1.8140607284571848,20.0,1.4285714285714286,0.0,0.0,0.0,,0.0,
1.05,7,0,1432354,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,1,1432391,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,2,1432428,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,3,1432465,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,4,1432502,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,5,1432539,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,6,1432576,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,7,1432613,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,8,1432650,292.8,1,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,9,1432687,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,10,1432724,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,11,1432761,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,12,1432798,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,13,1432835,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,14,1432872,204.20000000000002,1,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.05,7,15,1432909,,0,0.063720703125,7.0,0.7,1.6659862556700857,16.0,2.2857142857142856,0.0,0.0,0.0,,0.0,
1.1,0,0,2425294,,0,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,1,2425331,,0,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
